####
# done: if done==1, previously has been tcleaned and do not remove previous results for this field. if done==0, remove previous results if existed.
# doselfcal: if 1, do selfcalibration for continuum, else just do 1 round tclean with a threshold of contthreshold.
#            if 1, phasethreshold and ampthreshold are the thresholds for two round of selfcalibration, and contthreshold is adopted as the final round tclean
# linewinmethod: the method to obtain the line-emission channels which needed to be masked out for calculating continuum.
#                if 1, use the fixed window fitted from SgrB2 hot core with a doppler correction of vlsr.
#                if 2, calculate it from the typical spectral extracted from the spectral cube of pipeline.  
#                See *_getwin.py for details. You may calculate it first using the method 'setwin' before tclaning.
####
      field,       vlsr,                             scienceid,                       groupid,                                                                  TM1,                                                                   TM2,                                                                      ACA,  doselfcal,  phasethreshold,  ampthreshold,  contthreshold,   contniter, linethreshold,  linewinmethod,       done,
I09094-4803,   74.5,      science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X33d0,  member.uid___A001_X1590_X33d1/calibrated/uid___A002_X10536e5_Xe009.ms.split.cal, member.uid___A001_X1590_X33d3/calibrated/uid___A002_X1015532_X1289c.ms.split.cal, member.uid___A001_X1590_X33d5/calibrated/uid___A002_Xf287d3_X5a44.ms.split.cal, 1,             1.0,        0.6,         0.3,       10000,             12,             1,          0,      
I09018-4816,     10,      science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X33d0,  member.uid___A001_X1590_X33d1/calibrated/uid___A002_X10536e5_Xe009.ms.split.cal, member.uid___A001_X1590_X33d3/calibrated/uid___A002_X1015532_X1289c.ms.split.cal, member.uid___A001_X1590_X33d5/calibrated/uid___A002_Xf287d3_X5a44.ms.split.cal, 1,             5.0,        3.0,         1.5,       10000,             12,             1,          0,
I09002-4732,     3.2,     science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X33d0,  member.uid___A001_X1590_X33d1/calibrated/uid___A002_X10536e5_Xe009.ms.split.cal, member.uid___A001_X1590_X33d3/calibrated/uid___A002_X1015532_X1289c.ms.split.cal, member.uid___A001_X1590_X33d5/calibrated/uid___A002_Xf287d3_X5a44.ms.split.cal, 1,             5.0,        3.5,         2.5,       10000,             12,             1,          0,
I08470-4243,      12,     science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X33d0,  member.uid___A001_X1590_X33d1/calibrated/uid___A002_X10536e5_Xe009.ms.split.cal, member.uid___A001_X1590_X33d3/calibrated/uid___A002_X1015532_X1289c.ms.split.cal, member.uid___A001_X1590_X33d5/calibrated/uid___A002_Xf287d3_X5a44.ms.split.cal, 1,             5.0,        1.5,         0.5,       10000,             12,             1,          0,
I08303-4303,      14.5,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X33d0,  member.uid___A001_X1590_X33d1/calibrated/uid___A002_X10536e5_Xe009.ms.split.cal, member.uid___A001_X1590_X33d3/calibrated/uid___A002_X1015532_X1289c.ms.split.cal, member.uid___A001_X1590_X33d5/calibrated/uid___A002_Xf287d3_X5a44.ms.split.cal, 1,             7.0,        4,         2,       10000,             12,             1,          0,
I08448-4343_1,      3.7,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X33d0,  member.uid___A001_X1590_X33d1/calibrated/uid___A002_X10536e5_Xe009.ms.split.cal, member.uid___A001_X1590_X33d3/calibrated/uid___A002_X1015532_X1289c.ms.split.cal, member.uid___A001_X1590_X33d5/calibrated/uid___A002_Xf287d3_X5a44.ms.split.cal, 1,             2.0,          1,         0.5,       10000,             12,             1,          1,
I08448-4343_2,      3.7,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X33d0,  member.uid___A001_X1590_X33d1/calibrated/uid___A002_X10536e5_Xe009.ms.split.cal, member.uid___A001_X1590_X33d3/calibrated/uid___A002_X1015532_X1289c.ms.split.cal, member.uid___A001_X1590_X33d5/calibrated/uid___A002_Xf287d3_X5a44.ms.split.cal, 1,             5.0,          2,         0.5,       10000,             12,             1,          1,
I17441-2822,         71,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X341d,  member.uid___A001_X1590_X341e/calibrated/uid___A002_Xfcf230_X2e1.ms,   member.uid___A001_X1590_X3420/calibrated/uid___A002_Xf7519f_X1a70.ms,   member.uid___A001_X1590_X3422/calibrated/uid___A002_X10275c0_X12202.ms,          1,              25,             8,              1,       30000,             30,             2,          1,
I17455-2800,        -15,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X341d,  member.uid___A001_X1590_X341e/calibrated/uid___A002_Xfcf230_X2e1.ms,   member.uid___A001_X1590_X3420/calibrated/uid___A002_Xf7519f_X1a70.ms,   member.uid___A001_X1590_X3422/calibrated/uid___A002_X10275c0_X12202.ms,          1,               6,           2.5,            0.6,       10000,             12,             2,          1,
I17439-2845_1,       19,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X341d,  member.uid___A001_X1590_X341e/calibrated/uid___A002_Xfcf230_X2e1.ms,   member.uid___A001_X1590_X3420/calibrated/uid___A002_Xf7519f_X1a70.ms,   member.uid___A001_X1590_X3422/calibrated/uid___A002_X10275c0_X12202.ms,          1,             2.5,           1.0,            0.5,       10000,             12,             2,          1,
I17439-2845_2,       19,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X341d,  member.uid___A001_X1590_X341e/calibrated/uid___A002_Xfcf230_X2e1.ms,   member.uid___A001_X1590_X3420/calibrated/uid___A002_Xf7519f_X1a70.ms,   member.uid___A001_X1590_X3422/calibrated/uid___A002_X10275c0_X12202.ms,          1,             0.5,           0.3,            0.2,       10000,             10,             2,          1,
I18411-0338,      102.8,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X3416, member.uid___A001_X1590_X3417/calibrated/uid___A002_Xfd02fc_X1154.ms, member.uid___A001_X1590_X3419/calibrated/uid___A002_X1003af4_X1280e.ms,                                                                     None,          1,             2.5,             1,            0.3,       10000,             12,             2,          1,
I18434-0242,       97.2,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X3416, member.uid___A001_X1590_X3417/calibrated/uid___A002_Xfd02fc_X1154.ms, member.uid___A001_X1590_X3419/calibrated/uid___A002_X1003af4_X1280e.ms,                                                                     None,          1,             3.0,             1,            0.5,       10000,             12,             2,          1,
I18440-0148,       97.5,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X3416, member.uid___A001_X1590_X3417/calibrated/uid___A002_Xfd02fc_X1154.ms, member.uid___A001_X1590_X3419/calibrated/uid___A002_X1003af4_X1280e.ms,                                                                     None,          1,             0.5,           0.3,            0.2,       10000,             12,             2,          1,
I18445-0222,       86.9,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X3416, member.uid___A001_X1590_X3417/calibrated/uid___A002_Xfd02fc_X1154.ms, member.uid___A001_X1590_X3419/calibrated/uid___A002_X1003af4_X1280e.ms,                                                                     None,          1,             0.8,           0.4,           0.25,       10000,             12,             2,          1,
I18461-0113,       96.1,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X3416, member.uid___A001_X1590_X3417/calibrated/uid___A002_Xfd02fc_X1154.ms, member.uid___A001_X1590_X3419/calibrated/uid___A002_X1003af4_X1280e.ms,                                                                     None,          1,             0.8,           0.4,            0.3,       10000,             12,             2,          1,
I18469-0132,       96.1,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X3416, member.uid___A001_X1590_X3417/calibrated/uid___A002_Xfd02fc_X1154.ms, member.uid___A001_X1590_X3419/calibrated/uid___A002_X1003af4_X1280e.ms,                                                                     None,          1,               2,           0.8,            0.4,       10000,             12,             1,          1,
I18479-0005,       14.6,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X3416, member.uid___A001_X1590_X3417/calibrated/uid___A002_Xfd02fc_X1154.ms, member.uid___A001_X1590_X3419/calibrated/uid___A002_X1003af4_X1280e.ms,                                                                     None,          1,             8.0,             3,              1,       10000,             12,             1,          1,
I18507+0110,       57.2,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X3416, member.uid___A001_X1590_X3417/calibrated/uid___A002_Xfd02fc_X1154.ms, member.uid___A001_X1590_X3419/calibrated/uid___A002_X1003af4_X1280e.ms,                        member.uid___A001_X1590_X341b/calibrated/merge.ms,          1,              50,             15,             5,       10000,             18,             1,          1,
I18507+0121,       57.9,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X3416, member.uid___A001_X1590_X3417/calibrated/uid___A002_Xfd02fc_X1154.ms, member.uid___A001_X1590_X3419/calibrated/uid___A002_X1003af4_X1280e.ms,                           member.uid___A001_X1590_X341b/calibrated/ACA.ms,          1,             8.0,            2,            0.6,       10000,             12,             1,          1,
I18517+0437,       43.9,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X3416, member.uid___A001_X1590_X3417/calibrated/uid___A002_Xfd02fc_X1154.ms, member.uid___A001_X1590_X3419/calibrated/uid___A002_X1003af4_X1280e.ms,                                                                     None,          1,             3.0,             1,             0.5,       10000,             12,             1,          1,
I18530+0215,       74.1,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X3416, member.uid___A001_X1590_X3417/calibrated/uid___A002_Xfd02fc_X1154.ms, member.uid___A001_X1590_X3419/calibrated/uid___A002_X1003af4_X1280e.ms,                                                                     None,          1,             2.0,             1,             0.5,       10000,             12,             1,          1,
I18134-1942,       10.6,   science_goal.uid___A001_X1590_X33cf,  group.uid___A001_X1590_X3432, member.uid___A001_X1590_X3433/calibrated/uid___A002_Xfd02fc_X621.ms.split.cal,                                                          None,                                                                     None,          1,             3.0,           1.2,             0.6,       10000,             12,             1,          1,

