ID,source,ra,dec,l,b,vlsr,vlsrnew,distance,distancenew
1,I08303-4303,08:32:09.190,-43:13:44.30,261.64503,-2.08742,14.3,14.5,2.3,2.35
2,I08448-4343_1,08:46:32.270,-43:54:35.70,263.77191,-0.43510,3.7,2.8,0.7,1.22
3,I08448-4343_2,08:46:34.340,-43:54:30.50,263.77467,-0.42935,3.7,2.8,0.7,1.22
4,I08470-4243,08:48:47.720,-42:54:22.00,263.24857,+0.51455,12.0,12.1,2.1,2.27
5,I09002-4732,09:01:54.140,-47:44:09.30,268.42188,-0.84936,3.1,3.2,1.2,1.62
6,I09018-4816,09:03:32.820,-48:28:06.20,269.15212,-1.13009,10.3,9.9,2.6,2.57
7,I09094-4803,09:11:08.260,-48:15:54.60,269.85280,-0.06249,74.6,74.4,9.6,8.75
8,I10365-5803_1,10:38:32.070,-58:19:01.10,286.20619,+0.17153,-19.0,-20.1,2.4,2.49
9,I10365-5803_2,10:38:32.990,-58:19:16.70,286.21007,+0.16873,-19.0,-20.1,2.4,2.5
10,I11298-6155,11:32:06.030,-62:12:20.50,293.82778,-0.74454,32.9,33.4,10.0,9.6
11,I11332-6258,11:35:32.230,-63:14:46.80,294.51178,-1.62216,-15.4,-15.4,1.9,1.4
12,I12320-6122,12:34:53.380,-61:39:46.90,300.96916,+1.14564,-42.5,-43.2,3.43,4.17
13,I12326-6245,12:35:34.810,-63:02:32.10,301.13583,-0.22582,-39.6,-39.5,4.61,4.21
14,I12383-6128,12:41:17.320,-61:44:38.60,301.73081,+1.10402,-39.1,-39.4,3.27,4.12
15,I12572-6316_1,13:00:24.030,-63:32:31.90,303.93008,-0.68782,30.9,30.4,11.57,11.63
16,I12572-6316_2,13:00:28.730,-63:32:37.30,303.93875,-0.68962,30.9,30.4,11.57,11.63
17,I13079-6218_1,13:11:13.730,-62:34:40.20,305.20834,+0.20641,-42.6,-41.3,3.8,3.11
18,I13079-6218_2,13:11:09.500,-62:34:39.70,305.20026,+0.20717,-42.6,-41.3,3.8,3.11
19,I13080-6229,13:11:14.280,-62:44:58.30,305.19621,+0.03514,-35.6,-35.7,3.8,2.68
20,I13111-6228,13:14:26.490,-62:44:28.30,305.56239,+0.01301,-38.8,-39.5,3.8,2.97
21,I13134-6242,13:16:42.990,-62:58:29.30,305.79886,-0.24386,-31.5,-32.0,3.8,4.93
22,I13140-6226,13:17:15.900,-62:42:27.00,305.88761,+0.01594,-33.9,-34.4,3.8,4.88
23,I13291-6229_1,13:32:31.770,-62:45:11.80,307.61519,-0.25577,-36.5,-37.6,2.9,2.66
24,I13291-6229_2,13:32:34.580,-62:45:27.00,307.61981,-0.26079,-36.5,-37.6,2.9,2.66
25,I13291-6249,13:32:31.230,-63:05:21.80,307.56083,-0.58746,-34.7,-33.4,7.61,7.72
26,I13295-6152,13:32:53.490,-62:07:49.30,307.75582,+0.35251,-44.4,-44.7,3.89,3.27
27,I13471-6120,13:50:42.100,-61:35:14.90,309.92084,+0.47748,-56.7,-57.8,5.46,5.17
28,I13484-6100,13:51:58.640,-61:15:43.30,310.14416,+0.75912,-55.0,-55.3,5.4,6.64
29,I14013-6105,14:04:54.560,-61:20:10.70,311.62568,+0.28912,-48.1,-55.4,4.12,3.9
30,I14050-6056,14:08:42.150,-61:10:43.00,312.10777,+0.30909,-47.1,-47.6,3.42,3.19
31,I14164-6028,14:20:08.230,-60:42:05.00,313.57582,+0.32418,-46.5,-46.7,3.19,2.95
32,I14206-6151,14:24:22.810,-62:05:22.70,313.57583,-1.15400,-50.0,-49.7,3.29,3.19
33,I14212-6131_1,14:25:00.980,-61:44:57.50,313.76582,-0.86186,-50.5,-50.8,3.44,3.29
34,I14212-6131_2,14:25:04.240,-61:44:46.40,313.77292,-0.86125,-50.5,-50.8,3.44,3.29
35,I14382-6017,14:42:01.900,-60:30:22.50,316.13901,-0.50189,-60.7,-60.7,7.69,7.75
36,I14498-5856,14:53:42.530,-59:08:53.20,318.04937,+0.08691,-49.3,-50.2,3.16,2.99
37,I15122-5801,15:16:05.650,-58:11:39.60,321.05251,-0.50580,-60.9,-60.9,9.26,8.73
38,I15254-5621,15:29:19.480,-56:31:23.20,323.45906,-0.07914,-67.3,-68.6,4.0,4.42
39,I15290-5546,15:32:53.230,-55:56:09.60,324.20074,+0.12008,-87.5,-88.3,6.76,7.94
40,I15384-5348,15:42:17.510,-53:58:28.20,326.44810,+0.90660,-41.0,-41.1,1.82,2.41
41,I15394-5358,15:43:16.590,-54:07:14.70,326.47465,+0.70271,-41.6,-40.5,1.82,2.38
42,I15411-5352,15:44:59.460,-54:02:14.30,326.72494,+0.61576,-41.5,-41.8,1.82,2.41
43,I15437-5343,15:47:33.110,-53:52:43.90,327.11942,+0.50904,-83.0,-83.4,4.98,5.16
44,I15439-5449,15:47:49.820,-54:58:28.10,326.47310,-0.37656,-54.6,-54.8,3.29,3.4
45,I15502-5302,15:54:06.430,-53:11:38.40,328.30750,+0.43085,-91.4,-92.4,5.8,5.49
46,I15520-5234,15:55:48.390,-52:43:09.80,328.80764,+0.63243,-41.3,-41.8,2.65,2.56
47,I15522-5411_1,15:56:06.950,-54:19:58.90,327.80753,-0.63475,-46.7,-47.5,2.73,2.89
48,I15522-5411_2,15:56:08.220,-54:19:35.70,327.81403,-0.63179,-46.7,-47.5,2.73,2.89
49,I15557-5215,15:59:40.760,-52:23:27.70,329.46907,+0.50244,-67.6,-68.5,4.03,6.91
50,I15567-5236,16:00:32.860,-52:44:45.10,329.33743,+0.14749,-107.1,-107.5,5.99,5.22
51,I15570-5227,16:00:55.560,-52:36:25.20,329.47166,+0.21497,-101.5,-100.7,5.99,5.64
52,I15584-5247,16:02:19.630,-52:55:28.40,329.42299,-0.16370,-76.8,-76.4,4.41,4.87
53,I15596-5301,16:03:32.290,-53:09:28.10,329.40576,-0.45907,-72.1,-73.7,10.11,9.2
54,I16026-5035_1,16:06:25.630,-50:43:18.10,331.35920,+1.06314,-78.3,-79.0,4.53,5.05
55,I16026-5035_2,16:06:23.110,-50:43:26.10,331.35277,+1.06593,-78.3,-79.0,4.53,5.05
56,I16037-5223,16:07:38.100,-52:31:00.20,330.29433,-0.39406,-80.0,-81.3,9.84,9.04
57,I16060-5146,16:09:52.850,-51:54:54.70,330.95419,-0.18248,-91.6,-92.1,5.3,5.39
